Transaction_ID,Amount,Hour,Merchant_Category,Distance_km,Device_Score,Daily_Transactions,Failed_Logins,International,Weekend,Account_Age_Months,Fraud
100141,118451.17,15,Fuel,1683.7,40,28,4,1,0,5,1
100142,96577.91,14,Grocery,2998.0,22,40,3,1,1,30,1
100143,100645.11,23,Grocery,476.0,5,40,8,1,0,36,1
100144,98128.83,14,Grocery,3294.0,20,38,10,0,0,4,1
100145,101298.38,22,Fuel,4913.7,5,40,4,0,0,16,1
100146,65267.88,10,Shopping,3088.0,23,31,6,1,0,27,1
100147,95761.1,8,Shopping,3271.8,4,29,3,1,0,19,1
100148,115907.15,9,Shopping,3053.2,9,29,3,0,0,23,1
100149,50075.17,4,Shopping,3015.7,5,27,10,1,0,22,1
100150,113917.49,11,Travel,4986.1,33,13,8,1,1,2,1
100151,29632.16,2,Travel,4743.6,31,20,5,0,0,10,1
100152,16631.19,4,Electronics,3877.3,33,10,7,0,1,25,1
100153,84677.25,21,Shopping,3161.2,10,36,2,1,1,24,1
100154,56082.85,15,Electronics,1496.1,28,22,10,0,0,20,1
100155,113919.97,6,Restaurant,4923.8,29,26,8,1,1,11,1
100156,33750.37,2,Electronics,3241.8,23,14,10,0,1,19,1
100157,109110.21,0,Fuel,822.0,27,13,5,1,1,23,1
100158,62730.82,3,Shopping,1255.3,5,31,5,0,0,21,1
100159,96008.77,19,Grocery,774.2,18,38,4,1,0,29,1
100160,7185.45,9,Grocery,1156.7,9,35,3,1,1,16,1
100161,53279.94,0,Shopping,3990.1,29,12,3,1,0,35,1
100162,32822.89,5,Shopping,803.5,27,8,7,0,0,27,1
100163,65200.72,15,Grocery,1867.0,33,40,10,0,0,25,1
100164,117819.53,23,Shopping,1342.9,1,30,3,1,0,16,1
100165,93722.66,10,Shopping,3702.4,21,16,2,1,1,35,1
100166,94601.4,1,Travel,2376.7,30,19,4,0,1,30,1
100167,95977.56,15,Travel,4440.4,20,27,10,1,1,35,1
100168,79393.56,13,Fuel,1501.9,3,29,6,0,0,24,1
100169,107883.31,8,Grocery,1994.6,11,39,9,1,0,34,1
100170,14076.61,10,Shopping,3052.0,11,26,7,0,0,6,1
100171,56280.31,23,Travel,3616.5,10,36,7,1,0,3,1
100172,55018.16,23,Shopping,3233.4,3,12,8,1,1,33,1
100173,8581.17,20,Travel,4258.5,28,10,4,0,0,16,1
100174,114188.72,2,Restaurant,258.7,9,36,7,1,1,29,1
100175,47199.24,15,Restaurant,1640.5,17,23,3,0,0,12,1
100176,69592.36,6,Grocery,1382.7,16,36,5,1,1,32,1
100177,13515.98,17,Restaurant,946.0,28,13,7,1,0,5,1
100178,39495.02,6,Electronics,871.8,40,19,7,0,1,8,1
100179,61812.52,2,Travel,1868.4,36,31,9,0,0,6,1
100180,87447.36,20,Grocery,2445.5,26,34,3,0,0,21,1
100181,83212.53,1,Grocery,1788.1,35,19,4,1,0,33,1
100182,39974.32,8,Electronics,893.6,14,30,10,1,0,6,1
100183,68346.76,5,Shopping,713.3,19,13,10,0,0,10,1
100184,108730.1,20,Restaurant,1754.3,36,10,2,0,1,3,1
100185,29242.96,15,Electronics,2903.5,39,9,9,1,0,20,1
100186,83773.95,15,Fuel,1557.4,4,11,4,1,1,27,1
100187,74765.93,16,Restaurant,1631.7,20,30,8,0,1,24,1
100188,32799.85,9,Fuel,700.4,28,23,4,0,0,4,1
100189,53085.5,15,Restaurant,4817.2,10,28,7,0,0,11,1
100190,106093.7,6,Restaurant,2537.1,5,33,10,1,0,16,1
100191,10812.15,13,Electronics,2525.0,30,26,10,0,0,7,1
100192,88663.43,6,Travel,3842.9,23,10,8,0,0,36,1
100193,13456.15,12,Travel,2570.9,35,25,3,0,0,7,1
100194,43994.81,1,Grocery,4700.8,9,20,10,1,1,33,1
100195,87063.06,19,Travel,4039.4,33,37,4,0,1,21,1
100196,118920.81,15,Grocery,3722.7,19,29,10,1,0,20,1
100197,82487.74,20,Restaurant,4901.5,37,27,2,1,0,17,1
100198,87961.01,18,Shopping,2959.3,10,32,4,0,1,3,1
100199,7177.8,19,Fuel,1637.1,9,34,5,1,0,33,1
100200,89621.29,16,Fuel,405.2,8,21,10,1,0,31,1
100201,24915.98,7,Travel,4569.4,21,30,6,1,0,13,1
100202,30859.71,15,Travel,4867.3,19,26,5,1,0,21,1
100203,112465.82,11,Electronics,3636.2,18,15,10,1,0,26,1
100204,38077.49,6,Restaurant,3599.3,22,36,6,1,1,14,1
100205,69632.07,7,Shopping,1430.9,6,23,5,0,1,34,1
100206,16522.77,5,Fuel,1718.4,30,14,4,0,0,36,1
100207,106274.46,2,Shopping,2430.9,12,26,7,1,0,4,1
100208,66542.51,12,Fuel,3643.3,2,19,8,0,1,3,1
100209,91135.37,10,Travel,4374.2,18,10,2,1,0,7,1
100210,78750.93,3,Travel,2669.2,8,40,9,1,1,13,1
100211,57775.16,5,Restaurant,1360.6,11,8,7,1,0,13,1
100212,108159.92,5,Electronics,4152.3,32,28,3,1,0,7,1
100213,112619.92,9,Restaurant,133.5,24,23,9,1,0,22,1
100214,6315.11,5,Fuel,3303.0,15,11,3,1,0,20,1
100215,111157.19,7,Electronics,4450.2,19,15,6,1,0,15,1
100216,57322.55,21,Electronics,4945.3,23,34,10,1,0,35,1
100217,83239.32,18,Grocery,3019.5,5,36,10,1,1,5,1
100218,67979.66,14,Grocery,2576.9,36,17,4,1,0,34,1
100219,87445.57,16,Fuel,2495.3,32,36,2,1,0,9,1
100220,11639.73,23,Electronics,2365.7,19,9,8,1,0,1,1
100221,10208.33,9,Fuel,1788.2,4,11,3,1,1,3,1
100222,20574.32,12,Grocery,3243.5,26,31,8,1,0,25,1
100223,81106.14,4,Shopping,2742.6,22,15,4,1,0,34,1
100224,101004.49,12,Electronics,3805.3,19,37,10,1,1,35,1
100225,44808.37,6,Grocery,1450.7,7,10,8,0,1,16,1
100226,8861.27,7,Restaurant,3029.1,3,23,2,1,1,29,1
100227,104328.98,7,Travel,376.6,32,26,5,1,0,21,1
100228,118354.99,18,Shopping,2654.1,26,27,6,0,0,36,1
100229,76989.21,10,Shopping,2193.3,31,11,7,1,0,34,1
100230,22160.02,22,Electronics,1944.7,34,38,5,0,0,20,1
100231,110195.23,6,Travel,2855.7,26,16,8,0,0,17,1
100232,111056.0,21,Restaurant,4251.0,5,20,2,1,0,25,1
100233,105466.35,9,Grocery,1022.0,37,21,9,0,1,22,1
100234,26852.73,17,Travel,3733.2,30,23,5,1,0,16,1
100235,48776.1,15,Fuel,2714.9,22,27,6,1,1,33,1
100236,117851.62,1,Restaurant,2400.5,20,21,7,1,0,27,1
100237,90244.02,10,Electronics,179.5,35,34,6,0,0,13,1
100238,100836.71,5,Shopping,2546.6,21,24,9,1,0,30,1
100239,24465.56,1,Grocery,3629.5,31,19,10,0,0,34,1
100240,81844.79,0,Electronics,3845.3,26,16,5,0,0,10,1
100241,47918.08,17,Restaurant,3127.4,39,38,9,0,0,1,1
100242,6923.51,3,Grocery,3638.7,34,26,2,1,0,12,1
100243,32711.42,11,Fuel,3136.9,16,30,6,1,0,6,1
100244,32968.91,12,Fuel,3516.5,19,13,2,0,0,26,1
100245,11453.22,18,Grocery,146.3,10,13,9,1,0,22,1
100246,110702.5,21,Travel,1225.9,36,38,6,0,0,5,1
100247,69803.63,2,Travel,261.2,20,9,5,0,1,26,1
100248,32654.3,16,Shopping,4189.8,24,29,8,0,0,6,1
100249,11175.09,20,Travel,2241.7,4,29,8,1,0,2,1
100250,56813.27,2,Restaurant,1217.9,35,32,8,0,0,25,1
100251,33341.72,10,Travel,460.2,17,17,8,0,1,25,1
100252,5597.45,5,Fuel,1610.5,23,25,3,0,0,6,1
100253,68795.1,12,Grocery,2099.4,1,13,7,0,0,21,1
100254,49596.95,5,Electronics,515.0,35,23,10,0,1,25,1
100255,35866.78,15,Grocery,815.1,10,35,6,1,0,20,1
100256,113585.56,9,Grocery,3632.4,31,20,9,0,0,9,1
100257,43204.98,9,Travel,3138.9,21,36,7,1,0,9,1
100258,84958.61,18,Electronics,2447.1,11,33,7,1,0,32,1
100259,37234.52,0,Shopping,3950.7,23,15,5,0,0,36,1
100260,86462.21,20,Travel,2248.4,18,12,8,1,1,9,1
100261,80746.24,17,Restaurant,3604.7,24,12,9,1,0,26,1
100262,105007.88,7,Shopping,2149.7,2,31,10,0,0,7,1
100263,24128.93,0,Grocery,3102.1,36,33,7,1,1,7,1
100264,63727.77,14,Shopping,2642.1,37,22,9,1,0,26,1
100265,62553.56,2,Grocery,1790.3,1,38,3,1,0,27,1
100266,88967.33,15,Grocery,1806.8,21,37,5,1,0,23,1
100267,85127.78,20,Grocery,1662.7,19,10,3,0,0,22,1
100268,23900.72,17,Fuel,4921.1,15,19,10,0,0,22,1
100269,31663.39,23,Restaurant,2084.7,11,19,8,1,0,2,1
100270,56701.13,18,Grocery,2204.8,0,21,5,1,0,5,1
100271,66742.24,16,Shopping,1892.4,12,37,3,1,0,32,1
100272,49693.52,21,Shopping,2023.5,7,30,7,1,0,12,1
100273,110648.5,3,Electronics,2991.8,8,28,3,0,0,20,1
100274,21256.23,15,Shopping,2003.5,38,16,8,1,0,12,1
100275,110703.51,5,Travel,4660.4,11,18,9,1,0,9,1
100276,76232.15,17,Restaurant,4341.1,0,39,4,0,0,25,1
100277,52050.45,7,Travel,2509.5,28,39,4,0,1,2,1
100278,30856.99,8,Restaurant,1514.5,29,39,10,0,0,8,1
100279,47189.1,3,Shopping,4130.8,2,36,10,0,0,28,1
100280,91404.73,14,Grocery,1558.8,2,36,6,1,0,6,1
100281,32248.8,6,Electronics,4072.4,37,30,8,0,0,9,1
100282,70558.55,18,Travel,2708.2,38,18,7,1,0,19,1
100283,64157.72,20,Electronics,4510.8,6,16,8,0,0,18,1
100284,20259.45,18,Shopping,816.6,20,23,8,1,1,10,1
100285,52635.89,14,Fuel,2314.8,40,13,8,1,0,24,1
100286,5284.4,12,Electronics,3893.3,5,37,7,0,0,35,1
100287,99857.48,10,Shopping,2524.1,20,26,7,0,0,32,1
100288,10283.44,14,Grocery,3168.3,29,9,3,0,0,29,1
100289,54196.92,20,Travel,4978.9,8,27,4,1,1,6,1
100290,47762.03,13,Shopping,4528.6,10,11,8,1,1,15,1
100291,15946.12,0,Shopping,1145.8,4,16,5,1,0,1,1
100292,18868.29,2,Shopping,4315.7,8,38,3,0,0,25,1
100293,16868.18,2,Restaurant,1901.1,19,16,8,0,0,10,1
100294,75186.71,6,Grocery,904.2,22,21,4,1,0,29,1
100295,21101.51,7,Travel,703.5,24,30,8,1,0,9,1
100296,33539.21,16,Restaurant,3044.9,38,26,2,1,0,14,1
100297,91002.02,7,Fuel,1548.2,3,23,9,1,0,8,1
100298,13166.38,18,Fuel,4454.8,0,31,7,0,0,25,1
100299,83538.34,6,Grocery,3837.4,4,9,3,0,0,17,1
100300,114098.2,2,Shopping,2050.1,18,40,8,1,0,26,1
100301,75845.41,17,Travel,1459.6,19,13,10,0,0,10,1
100302,77943.84,7,Grocery,4189.2,4,27,8,0,0,4,1
100303,18338.46,22,Electronics,3100.3,3,27,4,0,0,1,1
100304,23840.75,23,Travel,4769.8,33,24,4,1,0,9,1
100305,18576.52,22,Restaurant,4509.5,21,35,6,0,0,17,1
100306,62056.97,8,Grocery,2602.8,3,39,4,1,0,11,1
100307,82523.85,1,Fuel,665.1,32,8,2,0,0,16,1
100308,110826.05,13,Shopping,976.9,2,34,5,1,0,16,1
100309,99989.65,16,Grocery,2900.5,7,40,2,0,0,15,1
100310,12926.54,14,Grocery,2379.0,18,27,7,0,0,36,1
100311,38533.44,6,Shopping,3944.1,39,23,9,1,0,32,1
100312,92455.46,11,Shopping,1301.1,0,34,2,0,0,35,1
100313,105877.84,16,Electronics,4759.9,0,32,6,0,0,14,1
100314,115536.28,16,Fuel,4865.5,9,25,3,0,0,15,1
100315,47836.58,2,Restaurant,4875.3,5,14,10,0,0,26,1
100316,55023.03,22,Shopping,4824.7,15,26,6,1,0,26,1
100317,57067.15,5,Fuel,1244.7,12,16,3,0,0,7,1
100318,51748.94,3,Grocery,2726.0,13,36,6,1,1,17,1
100319,83896.31,2,Shopping,4149.3,38,10,5,1,1,10,1
100320,45910.42,14,Restaurant,2616.0,19,24,4,0,0,26,1
100321,33733.05,4,Electronics,2364.0,8,15,2,0,0,15,1
100322,47807.57,6,Shopping,3188.5,5,24,3,0,0,5,1
100323,19811.03,5,Restaurant,4534.9,21,15,2,1,0,4,1
100324,88309.55,5,Travel,2531.0,24,35,4,1,1,14,1
100325,106593.74,17,Fuel,269.8,39,23,6,1,1,27,1
100326,37174.24,22,Travel,772.5,12,23,10,0,0,25,1
100327,94865.04,5,Grocery,1785.8,36,40,7,1,0,18,1
100328,30187.32,5,Grocery,4489.2,17,11,9,1,1,15,1
100329,32732.57,5,Electronics,2715.1,3,22,8,1,0,12,1
100330,97714.18,15,Restaurant,3518.4,37,9,7,0,0,13,1
100331,61400.19,10,Restaurant,542.3,14,22,2,1,1,1,1
100332,20006.3,3,Restaurant,3613.0,20,11,2,0,0,10,1
100333,115464.26,4,Electronics,1930.6,25,14,7,1,0,21,1
100334,55239.86,21,Restaurant,3232.4,31,28,4,1,0,15,1
100335,48514.17,18,Grocery,3696.6,18,16,4,0,1,26,1
100336,41594.94,10,Shopping,4063.2,39,22,3,1,1,10,1
100337,44883.16,8,Electronics,1665.6,40,13,7,1,1,1,1
100338,12796.4,23,Fuel,1357.6,6,8,2,1,0,29,1
100339,106723.48,15,Restaurant,2516.1,24,30,10,1,0,7,1
100340,84023.45,8,Grocery,897.0,4,10,6,0,1,21,1
100341,24562.1,13,Shopping,1939.7,4,13,7,1,1,2,1
100342,107321.63,22,Restaurant,869.8,6,29,5,0,0,27,1
100343,88947.01,12,Restaurant,1399.8,18,27,5,0,0,4,1
100344,61459.05,6,Grocery,367.1,0,35,3,1,1,31,1
100345,24645.7,15,Fuel,1529.9,5,38,3,1,0,26,1
100346,35475.51,5,Fuel,3245.1,24,19,7,1,1,24,1
100347,55570.15,21,Travel,1390.7,17,11,4,0,0,6,1
100348,52608.47,21,Fuel,3806.6,14,11,8,1,0,35,1
100349,32098.83,14,Electronics,1564.4,25,10,10,0,0,8,1
100350,24223.95,21,Fuel,1138.3,12,16,2,1,1,6,1
100351,99594.86,12,Restaurant,824.6,38,24,7,0,0,6,1
100352,42504.58,13,Electronics,1453.4,29,8,10,1,1,8,1
100353,72612.43,11,Fuel,3816.0,6,14,3,1,1,35,1
100354,80300.58,4,Restaurant,2902.9,30,10,4,1,0,26,1
100355,84771.04,11,Grocery,290.0,21,23,2,1,0,18,1
100356,96269.99,23,Fuel,1623.7,31,14,5,0,0,20,1
100357,41899.86,13,Shopping,3671.1,38,13,5,1,0,14,1
100358,64397.66,22,Restaurant,1932.2,3,40,4,0,0,20,1
100359,94759.39,1,Electronics,2669.0,36,9,4,0,1,13,1
100360,10814.32,12,Shopping,1865.8,12,25,7,1,0,33,1
100361,83335.05,11,Travel,1285.5,31,36,4,1,1,36,1
100362,107866.57,5,Restaurant,3769.9,5,26,2,1,0,4,1
100363,29646.64,0,Shopping,1184.6,14,21,6,1,1,33,1
100364,109824.28,22,Shopping,3272.1,38,8,5,1,0,20,1
100365,53737.78,9,Shopping,1944.7,22,37,6,0,0,30,1
100366,76714.7,21,Grocery,2964.0,0,40,7,1,0,20,1
100367,43672.62,4,Restaurant,1454.8,20,25,6,1,0,13,1
100368,108464.01,20,Fuel,4046.6,38,33,7,0,0,2,1
100369,34834.02,21,Restaurant,2151.0,24,10,5,1,0,15,1
100370,59709.55,5,Travel,4709.3,22,40,6,0,1,36,1
100371,19713.58,11,Electronics,1367.4,35,19,7,0,0,15,1
100372,40314.81,3,Fuel,3961.6,21,31,6,1,1,30,1
100373,77955.63,3,Shopping,2943.5,39,12,9,0,0,33,1
100374,39310.91,18,Fuel,364.9,9,16,5,1,1,27,1
100375,104175.3,20,Grocery,983.7,5,39,7,0,1,21,1
100376,36455.7,19,Fuel,3829.8,10,18,9,0,0,9,1
100377,51390.25,0,Travel,4830.1,24,8,2,0,0,24,1
100378,66068.89,4,Grocery,187.8,0,23,5,1,0,20,1
100379,72697.13,19,Restaurant,918.4,2,27,6,1,0,34,1
100380,107117.02,12,Grocery,4977.8,21,39,7,0,1,11,1
100381,88624.42,22,Shopping,742.9,1,40,4,0,0,24,1
100382,48147.13,1,Shopping,3237.6,34,11,2,0,1,2,1
100383,56096.14,9,Fuel,705.6,16,38,4,0,0,1,1
100384,81185.54,23,Restaurant,1422.9,38,16,8,0,1,33,1
100385,18111.44,22,Fuel,620.7,12,20,6,0,0,23,1
100386,9531.66,0,Shopping,2532.1,13,38,7,0,1,1,1
100387,17699.56,8,Shopping,2913.3,31,17,3,0,1,7,1
100388,118696.58,9,Travel,1550.5,29,11,3,0,0,3,1
100389,40961.32,10,Travel,3718.8,6,10,2,0,0,11,1
100390,114835.25,12,Fuel,1414.7,5,31,7,0,0,8,1
100391,36260.81,22,Shopping,1990.0,30,34,4,0,1,9,1
100392,113383.7,11,Restaurant,881.0,26,38,9,0,1,25,1
100393,83713.38,14,Grocery,4208.8,8,38,9,0,1,27,1
100394,80321.96,21,Shopping,160.6,33,22,7,0,1,28,1
100395,44761.19,20,Electronics,3413.8,24,17,10,0,0,1,1
100396,58968.23,10,Travel,2529.6,10,12,9,1,1,16,1
100397,30611.25,18,Fuel,3252.3,25,23,3,1,1,29,1
100398,62322.46,1,Restaurant,1648.7,31,9,3,1,0,27,1
100399,99979.51,10,Travel,3979.7,39,27,10,0,0,30,1
100400,98907.7,3,Shopping,4237.2,21,38,7,1,1,8,1
100401,44256.07,15,Electronics,4166.4,18,31,3,0,0,11,1
100402,90388.75,6,Fuel,2105.1,16,20,5,0,0,26,1
100403,26916.56,21,Restaurant,1755.9,26,10,3,1,0,30,1
100404,20483.14,16,Electronics,2544.3,33,11,10,1,0,31,1
100405,24969.78,19,Shopping,4094.7,6,32,7,1,0,27,1
100406,36463.53,19,Shopping,4821.6,18,36,4,0,0,27,1
100407,63913.88,6,Restaurant,4231.1,35,28,10,0,0,13,1
100408,83960.3,11,Restaurant,4613.8,8,19,10,1,0,8,1
100409,70623.39,3,Grocery,3369.1,26,26,8,0,0,34,1
